State,District,University Type,University Name,College Name,College Type,Address,Website,Management,"Year of Establishment
",Specialised in,Location,,Upload Year,The Institute Added In Survey Year
Andaman and Nicobar Islands,Nicobars,Central University ,"Pondicherry Univeristy, Puducherry (Id: U-0369)",Jawaharlal Nehru Rajkeeya  Mahavidyalaya (Id: C-6498),Affiliated College,"Jawaharlal Nehru Rajkeeya  Mahavidyalaya, M S Road, Port Blair",jnrm.and.nic.in,Central Government,1967,No,Urban,,2019,2010
Andaman and Nicobar Islands,Nicobars,Central University ,"Pondicherry Univeristy, Puducherry (Id: U-0369)",Regional Medical Research Institute (I.C.M.R.) (Id: C-6575),Affiliated College,"Post Bag No 13, Dollygunj, Port Blair",http://www.rmrc.res.in,Central Government,1983,Medical-Others,Urban,,2019,2010
Andaman and Nicobar Islands,Nicobars,Central University ,"Pondicherry Univeristy, Puducherry (Id: U-0369)",Tagore Government College of Education (Id: C-6574),Affiliated College,"M.G. Road, Middle Point, Port Blair - 744101",www.tgce.and.nic.in,State Government,1981,Education/Teacher Education,Urban,,2019,2010
Andaman and Nicobar Islands,Nicobars,Central University ,"Pondicherry Univeristy, Puducherry (Id: U-0369)",Zoological Survey of India (Id: C-6560),Affiliated College,"Zoological Survey of India, Andaman & Nicobar Regional Centre, National Coral Reef Research Institute, Horticulture Road, Haddo, Port Blair",www.zsi.gov.in,Central Government,1977,Science,Urban,,2019,2010
Andaman and Nicobar Islands,North and Middle Andaman,Central University ,"Pondicherry Univeristy, Puducherry (Id: U-0369)",Mahatma Gandhi Govt. College (Id: C-6547),Affiliated College,"Rampur, Mayabunder, Mayabunder",http://mggcm.and.nic.in,Central Government,1990,No,Rural,,2019,2010
Andaman and Nicobar Islands,South Andamans,Central University ,"Pondicherry Univeristy, Puducherry (Id: U-0369)",Andaman and Nicobar inslands Institute of medical sciences (Id: C-60180),Affiliated College,"DHS Annexe Building, Atlanta Point, Port Blair",www.aniims.org,Central Government,2015,Medical-Allopathy,Urban,,2019,2018
Andaman and Nicobar Islands,South Andamans,Central University ,"Pondicherry Univeristy, Puducherry (Id: U-0369)",ANDAMAN COLLEGE (ANCOL) (Id: C-50934),Affiliated College,"CHAKKARGOAN, SOUTH ANDAMAN, PORT BLAIR",www.ancol.andaman.gov.in,Central Government,2014,No,Urban,,2020,2014
Andaman and Nicobar Islands,South Andamans,Central University ,"Pondicherry Univeristy, Puducherry (Id: U-0369)",ANDAMAN LAW COLLEGE (Id: C-63976),Affiliated College,"Andaman Law College, Transport Bhawan, Phoenix Bay",https://andamanlawcollege.andaman.gov.in,State Government,2016,Law,Urban,,2020,2020
Andaman and Nicobar Islands,South Andamans,Central University ,"Pondicherry Univeristy, Puducherry (Id: U-0369)",Dr.B.R. Ambedkar Institute of Technology (Id: C-6528),Affiliated College,"Pahargaon, Junglighat Post office Pin 744103, South Andaman District, Port Blair.",http://dbragpt.andaman.gov.in,Central Government,1984,No,Urban,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Acharya NG Ranga Agricultural University, Guntur (Id: U-0004)","College of Agricultural Engineering, Madakasira (Id: C-26381)",Constituent / University College,"Penukonda Road, Madakasira, College of Agricultural Engineering, Madakasira, MADAKASIRA",,State Government,2008,Engineering & Technology,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Acharya NG Ranga Agricultural University, Guntur (Id: U-0004)","J.C.Diwakar Reddy Agricultural College, Tadiptri (Id: C-56609)",Affiliated College,"Juturu Campus, Peddapappur Mandal, Anantapuramu Dist, Tadipatri",jcdragriandhorti.com,Private Aided,2016,Agriculture,Rural,,2020,2016
Andhra Pradesh,Anantapur,State Public University ,"Acharya NG Ranga Agricultural University, Guntur (Id: U-0004)",Sri Krishnadevaraya College of Agricultural Sciences (Id: C-56607),Affiliated College,"SANAPA ROAD, ALAMURU POST, ANANTAPURAMU",www.skcas.ac.in,Private Un-Aided,2016,Agriculture,Rural,,2020,2016
Andhra Pradesh,Anantapur,State Public University ,"Dr. N.T.R. University of Health Sciences, Vijaywada (Id: U-0008)","Adarsha College of Nursing, Anantapur (Id: C-30633)",Affiliated College,"mahanandi irrigation systems backside,k.k.colony, kalyanadurgam road, ANANTAPURAMU",,Private Un-Aided,2004,Nursing,Rural,,2020,2010
