,College_Name,State,,
0,Indian Institute of Technology Madras ,Tamil nadu,,
1,"College of Engineering, Anna University ",Tamil nadu,,
2,"NIT Trichy, Tiruchirappalli ",Tamil nadu,,
3,Vellore Institute of Technology ,Tamil nadu,,
4,"SRM Engineering College, Kanchipuram ",Tamil nadu,,
5,SSN College of Engineering ,Tamil nadu,,
6,"SASTRA University, Thanjavur ",Tamil nadu,,
7,P.S.G College of Technology ,Tamil nadu,,
8,Thiagarajar College of Engineering ,Tamil nadu,,
9,Coimbatore Institute of Technology ,Tamil nadu,,
10,Karunya Institute of Technology and Sciences ,Tamil nadu,,
11,Kumaraguru College of Technology ,Tamil nadu,,
12,"VEL Tech, Chennai ",Tamil nadu,,
13,"Mepco Schlenk Engineering College, Sivakasi ",Tamil nadu,,
14,Government College of Technology ,Tamil nadu,,
15,Hindustan Institute of Technology and Science ,Tamil nadu,,
16,Sri Krishna College of Engineering and Technology ,Tamil nadu,,
17,Kongu Engineering College ,Tamil nadu,,
18,Bannari Amman Institute of Technology ,Tamil nadu,,
19,"Sona College of Technology, Salem ",Tamil nadu,,
20,Tamil Nadu Veterinary and Animal Sciences University ,Tamil nadu,,
21,"St. Joseph College Of Engineering, Kanchipuram ",Tamil nadu,,
22,Saveetha Engineering College ,Tamil nadu,,
23,"Sri Sairam Engineering College, Chennai ",Tamil nadu,,
24,B.S. Abdur Rahman Crescent Institute of Science ,Tamil nadu,,
25,Sri Ramakrishna Engineering College ,Tamil nadu,,
26,Rajalakshmi Engineering College ,Tamil nadu,,
27,Sri Venkateswara College of Engineering ,Tamil nadu,,
28,IIT Bombay ,Maharashtra,,
29,Institute of Chemical Technology ,Maharashtra,,
30,Visvesvaraya National Institute of Technology ,Maharashtra,,
31,College of Engineering ,Maharashtra,,
32,Defence Institute of Advanced Technology ,Maharashtra,,
33,National Institute of Industrial Engineering ,Maharashtra,,
34,Army Institute of Technology ,Maharashtra,,
35,Bharati Vidyapeeth Deemed University ,Maharashtra,,
36,Veermata Jijabai Technological Institute ,Maharashtra,,
37,GH Raisoni College of Engineering ,Maharashtra,,
38,Mukesh Patel School of Technology Management and ,Maharashtra,,
39,Sardar Patel Institute of Technology ,Maharashtra,,
40,Shri Ramdeobaba College of Engineering and Management ,Maharashtra,,
41,Rashtrasant Tukadoji Maharaj Nagpur University ,Maharashtra,,
42,Yeshwantrao Chavan College of Engineering ,Maharashtra,,
43,Walchand College of Engineering ,Maharashtra,,
44,MIT World Peace University ,Maharashtra,,
45,Vishwakarma Institute of Information Technology ,Maharashtra,,
46,Ramrao Adik Institute of Technology ,Maharashtra,,
47,Sardar Patel College of Engineering ,Maharashtra,,
48,K. J. Somaiya College of Engineering ,Maharashtra,,
49,Pimpri Chinchwad College of Engineering ,Maharashtra,,
50,"MKSSS's Cummins College of Engineering for Women, ",Maharashtra,,
51,Dwarkadas J Sanghvi College of Engineering ,Maharashtra,,
52,Thakur College of Engineering and Technology ,Maharashtra,,
53,SVKM's Narsee Monjee Institute of Management Studies ,Maharashtra,,
54,"Amity University, Mumbai ",Maharashtra,,
